text_raw,vader_pred,tb_pred,tr_pred,tr_top_emotion,real_y,vader_neg,vader_neu,vader_pos,vader_compound,tb_polarity,tb_subjectivity,sadness,joy,love,anger,fear,surprise
"Second time getting poor service from BA. 1st, unable to contact via phone, email or website. 2nd even with four business class tickets across the Atlantic, they do not allow free seat selection or check in until 24 hours prior to the flight. Do they understand what the last 24 hours of an international trip are like? By the time we confirmed our seats my wife and our kids were spread throughout the plane. Of course no-one at the airport could do anything. ",negative,neutral,positive,joy,negative,0.084,0.888,0.028,-0.6083,-0.011111111,0.32962962962962966,0.003213182,0.9448990821838379,0.001428399,0.012842956930398941,0.036043014377355576,0.001573346
Flew YVR to MUC via LHR. I had high expectations for this airline but was pretty disappointed. We were flying with twin 15 month olds so it's great with BA that you can preselect the bassinet spots when booking. Crew did bare minimum seemed as though asking for anything was a huge inconvenience. Audio on IFE was awful couldn't hear any movies. Flight landed 10 minutes late in London and we were denied boarding on the MUC flight due to being late. If they allow a connection of 1h10 and you're 10 minutes late and can't get on their system is flawed. When are any LHR flights not 10 mins late! They rebooked us 2.5 hours later but after complaining put us on a Lufthansa flight 1 hour later. I never thought I would say this but will use Air Canada on this route from now on if the price is equal.,negative,negative,negative,sadness,negative,0.122,0.791,0.087,-0.7371,-0.124375,0.5353125,0.7590532302856445,0.004871729,0.000670052,0.20770078897476196,0.026832852512598038,0.000871268
"The customer service of British Airways is really bad. You can't reach any call centre agent even after waiting for 30 mins. Now, I really appreciate Emirates and Turkish Airlines after facing BA's low quality customer service. Not only the customer service but the food they offer during a long haul (LDN-JNB) is really low quality. Other airline operators which are working with Do&Co for flight catering are way better than BA. I guess BA has selected the lowest budget option from Do&Co. Overall my rating is 2/5 for BA - you can feel how stingy BA is when you fly with them. Note: Respect to their cabin crew",negative,positive,negative,anger,negative,0.119,0.801,0.08,-0.436,0.056818182,0.42196969696969694,0.00177831,0.001500152,0.000815024,0.9943515062332153,0.001225911,0.000329043
"I am happy to say that this flight was quite good. Except for the second rate Euro business seating, everything was very well done. A friendly, informative cabin crew served a good hot breakfast while being very communicative to folks nervous about Heathrow transit. Well done. Unfortunately, a bus gate was used upon arrival.",positive,positive,positive,joy,positive,0.066,0.677,0.257,0.9183,0.3027777777777778,0.5722222222222223,0.000630017,0.9947816729545593,0.000553339,0.001607061,0.002157733,0.000270162
"San Diego to Hannover via London. I booked on ba.com, the longer flights both ways in premium economy.  On the return I was informed at San Diego that the American Airlines flight into DFW was severely delayed and I would miss my flight into London. American Airlines could book me on a later flight the same day, but had only  coach available. If I insisted on premier economy I could fly in 3 days. I took the coach and American assured my that BA would refund the fare difference for this downgrade. After arrival at home I contacted BA on their website to refund the fare difference. A bizarre exchange followed. First they said you did not buy any upgraded seat. I told them to look at the ticket. You can't get a refund because the economy class seat was much more expensive that the booked premium economy seat. I contacted BA Germany who said you get a refund, but you booked this with a travel agent, so we are not in charge.  I booked with BA on their website. They saidthey would send this to London so they can compute the refund, but then you can't get a refund because your seat was much more expensive than the premium seat you booked months in advance. The change in booking was the sole fault of the delayed American Airlines flight. This is miserable customer service.",negative,neutral,negative,sadness,negative,0.072,0.915,0.013,-0.9127,0.05,0.41225490196078435,0.7707294821739197,0.007058433,0.000946994,0.12084890156984329,0.098990194,0.001425978
"Check-in very slow. No app check-in and could not check my vaccine QR code online. Check in staff friendly but too few of them. BA Silver card holder and no Stockholm lounge  to use. Boarding fine, but plane was worn out. Seats close together and row 30 even worse.  Crew really professional and happy it seemed. Arrival at Heathrow a total shambles. BA777 landed at 12.50, no gate so waited and waited for 25 minutes. Then BA jetty didn’t work. Then BA had no steps. Very slow to leave plane as only moderately mobile wheelchair passengers struggle down the steps. Everyone was very patient and supportive but it was terrible to watch. So BA skimping on lounge, plane condition and gate. Crew good, seats very uncomfortable.",negative,neutral,positive,joy,negative,0.189,0.705,0.107,-0.8986,-0.005522876,0.6164052287581698,0.002489401,0.9780503511428833,0.014308612793684006,0.003926024,0.000911737,0.000313821
BA2204/5 LGW-PUJ-LGW B777-200ER. Both flights excellent comfortable seats tasty meals both ways and friendly cabin crew. Lucky to get upgrade to WTP on return flight very nice BA at its best.,positive,positive,positive,joy,positive,0,0.552,0.448,0.9652,0.6480555555555556,0.7388888888888888,0.000329943,0.9927486777305603,0.006209074,0.000266879,0.000126849,0.000318549
"Copenhagen to Amsterdam via London Heathrow with British Airways. There was problems at check in and a lot of people had to run to make the flight. But the attitude and welcoming hospitality of the crew made me forget that and I enjoyed the flight. The seats were nice and comfortable and the aircraft fresh. During the second flight from LHR to AMS, the expectations from the first flight were fulfilled and we had a captain that knew most of the passengers were frequent fliers and made jokes only frequent fliers would understand. Like how the taxi from Polderban is almost as long as the flight itself.",positive,positive,positive,joy,positive,0.032,0.746,0.222,0.9791,0.225,0.48611111111111116,0.000959108,0.8191095590591431,0.177805558,0.000998958,0.000365147,0.000761691
"Club class on British Airways between Cape Town and London. Boeing 747-400 has the flat bed and while the quality of the cabin was inferior to the A380 between London and Johannesburg, it remains one of the better business class product. Check in at the BA counters in Cape Town would have been a breeze, was it not for the unexpected six hour delay in the departure of the flight. The upgrade from Premium to Club class made this inconvenience almost bearable. However,  Cape Town airport becomes like a ghost town when all flights but yours have departed. BA's Executive lounge in Cape Town is spacious and serves good food and Cape wines. There are free internet and computers and a friendly service, even at midnight. While comfortable, BA's Club seats on the 747 can do with an upgrade. They are configured in a 2-4-2 layout, with one passenger facing forward and the one adjacent facing backward, at the side row - the middle row has two forward and two backward facing. This is something I never understood - why facing backward because it just makes no sense. The seats are separated by a hard plastic cseparator that moves up and down with the push of a button. Theoretically, the air hostess should walk behind the front-facing seat to serve the backward-facing passenger at the window - however, on my flight the air hostess insisted on leaning over me, pushing the button to lower the separator and serving the accross my seat - after about three times this really got annoying. The problem is that if you don't raise the separator, you and your fellow passengers stare straight at each other from a distance of less than one meter. Food was satisfactory, rather than outstanding. . The starter choices were poached Norwegian Salmon with marinated prawns or an oyster mushroom salad. Main courses included Ballotine of chicken with Port, Drakensberg trout, pasta or a cold main course salad of za'atar beef medallion. I chose the chicken and it was OK, but inferior to my mother's Sunday roast chicken. There was a selection of South African Chardonnay, Sauvignon Blanc and some good reds. Breakfast was a choice of a cheese omelette, continental or a traditional English breakfast with bacon, sausages, mushrooms and potatoes. Arriving in London, I took the supposedly fast track option - a big mistake. In theory this is supposed to expedite your progress through customs as a Club passenger, but in practice it was a disaster - there were only two or three border agents present at any time and it took 45 to 60 minutes to get through the fast track immigration - I could see group after group of fellow BA passengers clearing the slow lane long before I took the next few steps forward. BA arrivals lounge was a welcome relief from the hustle and bustle of Heathrow Terminal 5. All in all, not a bad experience, but having flown on these seats quite a few times over the past 15 or more years, I really think it is time to either upgrade the Club cabin on the 747's.",positive,neutral,positive,joy,neutral,0.058,0.854,0.088,0.9691,0.039009662,0.45555555555555555,0.027237473,0.827235758,0.002077507,0.079325408,0.05826189,0.005861928
Covid form is broken - Called customer service twice on different times and they hung up due to being too busy to pick up the phone. 1 hour flight delay - was first in the queue and had to hand in my hand luggage due to there being not enough room which was untrue as most storage compartments where empty when I entered the plane. I explained that I really cannot afford to wait on my luggage as I have 3 hours drive left after I arrive at the airport. In short: totally not customer friendly. Will try to avoid flying next time with BA.,negative,neutral,negative,sadness,negative,0.105,0.84,0.055,-0.5983,0.045,0.37555555555555553,0.3517066240310669,0.2970612645149231,0.003017691,0.32363834977149963,0.022691134363412857,0.001885004
"Flying in Club Europe from London City to Berlin Tegel, returning in economy with British Airways. The outbound flight was delayed for nearly 1 hour. However, the journey itself was very smooth and enjoyable. The food offered in the CE cabin was delicious. Flying back in economy was an absolute nightmare. Everything went wrong from checking in, lounge access, baggage claim and extremely poor service relating to my missing luggage. I had done my online check in on my return flight. Just went to the check in counter to drop off my luggage. The check in agent offered me a paper boarding pass which later I discovered had been incorrectly issued to me. She checked me in under someone else who happens to have the same last name as mine. After I dropped off my luggage, I went to the business lounge as I am a silver member. I provided the recepitionist my paper boarding pass and entrance was declined. Not surprising given the fact that they gave me the wrong boarding pass. However, I showed the receptionist my silver status on my mobile app. She didn't even look at it and told me my membership had been downgraded on her system. she didn't investigate anything and asked me to call up BA which I didn't bother. When I was queuing up at the passport control, I noticed the destination shown on my boarding pass was incorrect. I approached the BA staff at the gate immediately after I had cleared through security. BA staff were shocked that I was checked in under someone else's name. Wrong name, Wrong flight etc. They asked me to go to the correct gate immediately, but then they also told me my checked luggage was on the wrong flight and I might not have it back upon arrival at LCY. They gave me a new luggage tag. After arriving at LCY, waited for 20mins, bag didn't show up. I approached the baggage claim agent who was on her phone. I explained the situation which she didn't really pay attention and asked me to stand next to the conveyor belt, insisting my luggage would arrive. Again, no investigation, rushed service and a bit rude. 3 days later - no luggage still despite the fact that they have located my luggage. ",negative,negative,negative,sadness,negative,0.078,0.896,0.026,-0.9595,-0.071745455,0.45784848484848484,0.42408326268196106,0.12531618773937225,0.003317375,0.19306747615337372,0.2411542683839798,0.013061469420790672
"Gatwick to Amsterdam in Business class was truly the most uncomfortable flight of my life. I thought that with British Airways I might expect something a little better - what a stupid mistake. The Business class seats are standard economy class, with middle seat empty. Food for breakfast was okay although not enough if you were hungry. But luckily they provide champagne during the flight.",positive,neutral,negative,fear,negative,0.096,0.74,0.165,0.7357,0.020486111111111118,0.4861111111111111,0.006341492,0.001747047,0.000258118,0.006686294,0.9839897155761719,0.000977396
"Athens to London with British Airways. To call this business class is some sort of mean spirited joke. To start with British Airways lounge is provided by Skyways which as jammed with both people and a bad assortment of food. The actual seat (3D) had no power plugs and no TV at the front of the seat, what you find in economy in Canada. The seat width was narrow and the pitch was pathetic. Flying premium economy on Cathay Pacific is dramatically superior. The flight from Heathrow to Athens was on a very beat up B767 on Aug 4/ 2017. The food on this flight was both minuscule and horrid. It is amazing that they can attempt to call this level of service ""business"". Very disappointing.",negative,negative,negative,sadness,negative,0.127,0.794,0.079,-0.7956,-0.084038462,0.5741666666666667,0.7948418259620667,0.010375093,0.001374714,0.1882585734128952,0.002764299,0.002385497
"Leeds Bradford to Heathrow. Service is equal to Ryanair and EasyJet. I've been flying with BA regularly for last 4 years and I can't get my head around what is going on. Complimentary drinks replaced with a Buy on Board menu and the flight is so short not all passengers even get served now!  Really just appalling. There is no competition on the LBA route, but I certainly won't pay anything extra to travel with BA from now on if there are alternatives available - Ryanair it is at around a fifth of the price usually!",positive,neutral,positive,joy,negative,0.034,0.896,0.07,0.5557,0.041071429,0.3286380286380286,0.001830713,0.9893429279327393,0.001227835,0.006188974,0.000448761,0.000960798
"Just arrived back in UK on British Airways after a stay in Las Vegas. On outbound flight, the chicken dinner ran out at the next row to me, alternative was Spinach pasta! I declined. On return journey earlier today, the breakfast consisting of bacon and  sausage ran out one row from us! Had to endure veggie option of hash brown, tomato, mushrooms. For some reason they serve from front and rear, and by the time they meet around the low 40 rows, you don`t get a choice! Surely in the days of computers checking everything, they would know the ratio of meals that passengers are choosing. TV screens did not work for entire flight, steward even advised London were re-setting it remotely from ground!",positive,neutral,negative,anger,negative,0.016,0.952,0.032,0.453,-0.025,0.3848765432098766,0.037943982,0.008352059,0.000851692,0.9120426177978516,0.040198609,0.00061105
"The best thing about this flight from London Heathrow to Miami was it’s punctuality. However having got up at 5am for the flight time at 10.45, if we hadn’t eaten breakfast in the airport we would have been starving by the lunch service, which was served what seemed like a long time after take off. 6 hours after the mediocre lunch were were served an even more mediocre sandwich. Only one cabin staff for premium economy service meant drinks and meals were served very slowly by the hard worked lady. Aircraft an elderly 747 and showing its age. Screen tiny, scratched and hardly worth looking at. We have flown similar routes on Thomas Cook and TUI planes and the service and comfort of their new aircraft was miles ahead of this BA flight, which I think is shameful for the national carrier.",positive,neutral,negative,sadness,negative,0.048,0.881,0.071,0.5279,0.017058080808080796,0.5596843434343435,0.9616320729255676,0.00136912,0.000806107,0.035046048,0.000558213,0.000588438
"Bengaluru to Heathrow. My first long haul flight with British Airways and I am not at all impressed. The service levels were disgusting. No ear plugs, No eye shades even after requests.  Drink service only a showpiece. Asked for a Virgin Mary and was give iced tomato juice with lemon. When asked for other ingredients like Worcestershire sauce, tabasco, Salt and Pepper, I was told that this was the airline recipe. My request for some salt and pepper to spice my drink was refused saying that `we do not stock them in Economy'. When I requested for a talk with the Head of Staff on the aircraft, he was sorry and said the airline was trying to cut corners and the crew pleas were falling on deaf years.  Only vegetarian dinner option provided since they had apparently run out. No menus etc. IFE selection with dated screens and headsets.  Was a Low cost carrier experience that takes a passenger from Point A to Point B without any feel good moments.",negative,neutral,positive,joy,negative,0.131,0.855,0.014,-0.9498,0.027083333333333324,0.6131944444444444,0.008097659,0.9485423564910889,0.010095139034092426,0.026456832885742188,0.001417113,0.005390848
"Heathrow to Bilbao. Boarding of the flight at Heathrow was very good , the flight was on time and the plane was clean. Frequent flyers boarded first and the rest soon followed. From then on the service was very similar to a Easy Jet or Eurowings flight. The 3 crew member's in economy passed through the cabin selling M&S sandwiches , snacks and coffee. The flight out of Bilbao was delayed by a late incoming aircraft, information on the delay was a little slow in coming from the gate agent. However the crew were very efficient loading the flight when it finally landed. The flight crew also managed to shave 15 minutes off the flight time too. However the service onboard is similar to Eurowings. Both flights were safe and competent. But the actual flight experience was lacking and in future I will consider Easyjet or similar as they offer the same level of service for less money.",positive,positive,positive,joy,neutral,0.019,0.911,0.07,0.7538,0.12135964912280703,0.45526315789473687,0.22470661997795105,0.5766904950141907,0.002708622,0.13666050136089325,0.056697544,0.002536241
"BA362 6th June 2015. If this were the first flight I had taken with British Airways I would not be impressed. At check in there is a lack of professionalism. The customer does not come first even at the First Class check in. Staff interrupt each other and discuss their own business in priority to completing the check in. The flight was in fact delayed by an hour despite the information such as was provided given as ""ten minutes"". The aircraft appeared dated and not especially clean with crumbs on the seat and grease marks on the windows. The inflight shopping was made difficult as there were no inflight duty free magazines available in Club Class. Inflight entertainment system did not work. Whilst the food was good it had to be changed as the first offering was cold. Inflight crew were pleasant and efficient. Upon arrival the baggage reclaim took no account of priority passengers.",negative,positive,neutral,surprise,negative,0.105,0.809,0.086,-0.11,0.20686274509803917,0.5485294117647059,0.006050763,0.054867923,0.003120126,0.022909104824066162,0.019350368529558182,0.8937017321586609
Hong Kong to London. Great airline indeed! Staff were friendly and helpful! The aircraft was very clean. The crews are diverse. Will definitely fly again.,positive,positive,positive,joy,positive,0,0.55,0.45,0.9467,0.6863541666666667,0.765,0.000169488,0.9983057975769043,0.00101795,0.000204368,0.000107427,0.000194887
"I have used Ryanair for European destinations and have always been very happy, but while searching I found Iberia/British Airways offering return to Barcelona for £75 including 23kg of baggage. The aircraft was an A319, I am 6'3"" so seat was bit cramped, but no more than other budget carriers, aircraft was spotless, crew very attentive. There was complimentary food and drink. Outward flight on time, inward flight was delayed by about one hour by problems earlier at Gatwick. I will certainly use again but other budget airlines better wake up!",positive,positive,positive,joy,positive,0.082,0.79,0.128,0.7085,0.21592857142857141,0.5321428571428571,0.001050206,0.9946054816246033,0.000717465,0.002773816,0.000572732,0.000280349
"We have had some torrid experiences with BA - which we have not been shy to report. So when we flew yesterday with them from Heathrow to Austin and had a great flight in every way, it felt right to feedback on that. The staff in the upstairs business class cabin were, frankly, wonderful. Cheerful, efficient and calm. What more could you ask? The food was pretty nice and the champagne lovely. The beds were very comfortable and sleeping was easy. I literally cannot think of any real negatives. The luggage lockers were quite small but then it’s an older model of the plane so that probably explains it. If only BA could deliver this kind of experience on every occasion, they would once again be the “world’s favourite airline’. Sadly, the current CEO doesn’t seem able to inspire and motivate his staff to be consistently delightful. Perhaps once he moves on we can expect something better. Although the flight was a bit delayed on departure it arrives bang on time. As we entered the (literally empty) immigration area, we were met by the most charming customs officer you can imagine, who ended up giving us tourist tips and ideas for bars! Surreal, as anyone who regularly travels to the States, will testify! It felt as if we were living in the Truman Show at one point but in the nicest possible way. Get yourselves down to good ole Austin now that BA fly there direct. Fantastic.",positive,positive,positive,joy,positive,0.028,0.758,0.214,0.9944,0.32348965848965855,0.7043391793391793,0.000519683,0.992811382,0.003773291,0.000444198,0.000286106,0.002165334
"Munich to London-Heathrow with British Airways. While British Airways is more or less in the same price range as Lufthansa, no complimentary food or drinks were served. Crew was friendly. The departure was from Terminal 1 in Munich, which is by far not as nice as the newer terminal 2. And arrival at Terminal 5 in Heathrow which is not as nice/easy as the new Star alliance Queens Terminal 2. No WiFi, personal device entertainment or onboard monitors on my flight. Seat reservation too expensive in my eyes. British airways has one big advantage though: the generous hand luggage rules.",positive,positive,positive,joy,positive,0.061,0.811,0.128,0.8206,0.063906926,0.37472943722943713,0.000749937,0.9869944453239441,0.009934229,0.001726923,0.000304901,0.000289548
"I was traveling with my wife in business class from Seattle to Bangalore via connecting flight in London and we reserved our seats together while booking the tickets. But mysteriously they changed it later and when we got our boarding pass, they assigned 11h and 5d. Called several times but they couldn't do anything and gave us explanations like may be some one else needed those seats and there are no other seats together available. When we boarded, the whole plane was empty and still they didn't allow us to seat together. ",negative,positive,negative,fear,negative,0.071,0.896,0.033,-0.4116,0.080357143,0.3821428571428571,0.055732470005750656,0.012778186239302158,0.001401254,0.42838266491889954,0.4992944896221161,0.002410896
"Straightforward and friendly baggage drop. On to South Lounge, no polite conversation on have you used our lounge before, no indication that it was so busy there was nowhere to sit at all considering even the 1.5m distancing. Had to roam the entire lounge, lugging our bags on the carpeted floor, with no success at all. Gave up after 20 minutes and decided to try another lounge. Arrived and everything was actually right in front of us and actually found somewhere to sit after 5 minutes of looking around. Menu was basic with no eggs, hash browns or any breakfast cakes or muffins. Ordered a frittata as was so hungry. Made my way to the self-serve coffee counter which had basic coffee and was straight away put off by flies hovering over the croissants and fruit. Flight was departing from a gate where you had to take a train to and as if to rub salt in the wound were then told that DXB flight usually leaves from there and should’ve gone to the lounge near there. Looking at the individual cubicles which was to be honest our top reason for choosing business class gave me heart. However, the doors cannot close till take off. I asked for the artisan crisps or biscuits on the Menu and it took them over an hour. Lunch came in another almost hour. Asked if could swap puddings as am not a crumble person, said will surely try but clearly didn’t, with no apologies or even trying. Portions were small, plus saw quite a few fellow passengers sleeping through lunch so asked if could have more but all was finished. Chocolates are Lindor. Nothing special about the other amenities, toilets were no different to what you’d expect, amenity kit was basic, duvet seemed well used. It was not worth almost 4 times the amount of a regular ticket. Naive to trust claims of world class standards.",positive,positive,positive,joy,positive,0.062,0.877,0.061,0.1815,0.09510582,0.39467733912178354,0.001352284,0.9925974607467651,0.000842319,0.003792326,0.000790326,0.000625206
"The worst airline I have ever flown with. Allocated the very back row next to the toilets and galley. No chance of getting any sleep, question asked of possible seat movement ignored and getting bumped the entire time by cabin crew walking or pushing kart up and down aisle without one apology. Would have been better sitting in the luggage compartment.",negative,negative,negative,sadness,negative,0.136,0.821,0.043,-0.6584,-0.093650794,0.4876984126984127,0.9800575971603394,0.000819825,0.000286456,0.018176091834902763,0.000424735,0.000235374
"Check in well organised. No lounge in Cancun. Efficient boarding process. Given water bottle before take off, no welcome drink. Now COVID rules are being relaxed this needs to change. Menu good and food acceptable. Staff were experienced and well organised and gave a very slick on board experience. Managed to sleep a few hours. For the first time my tagged luggage was off quickly. This may reflect the fact that our flight was the only one into Gatwick at that time.",positive,positive,positive,joy,positive,0.05,0.787,0.164,0.8664,0.14479166666666668,0.6026041666666667,0.000522393,0.9977586269378662,0.000372031,0.000713107,0.000325781,0.000308105
"I would never fly British Airways on London-Istanbul-London route again. Business class seat is awful, same as economy seat, no space to work or even space for your legs, no entertainment, no TV. BA thinks they can get away with making so much profit and ripping you off. Definitely going for Turkish Airline in the future.",positive,negative,negative,sadness,negative,0.115,0.766,0.119,0.0604,-0.171428571,0.40714285714285714,0.5070821642875671,0.021507836878299713,0.001847102,0.46261879801750183,0.005188444,0.001755649
"Flew Oslo to Philadelphia via London. Was extremely disappointed with Business Class on British Airways. The flat beds were very narrow (and I'm only 4'11"" and weigh 100 lbs.) and therefore not very comfortable. The lunch served (beef entree) was inedible except for the tomato/mozzerella starter, the cheese and the dessert. (I had wanted shrimp salad but was told it was unavailable). Afternoon tea was better but certainly not stellar. The so-called warm scone was stone cold and the sandwiches were still very cold from being refrigerated. I had asked for both a diet Coke and an apple and the steward forgot both requests.",positive,negative,negative,anger,negative,0.037,0.88,0.083,0.7306,-0.144895105,0.5782167832167832,0.00692011,0.002056815,0.000567805,0.9882820248603821,0.001940513,0.000232764
"New Orleans to Hyderabad via London. I booked my flight ticket couple of moths before my travel and I received an email on the day I'm going to travel saying that my flight was cancelled and they asked me to book my ticket for the next day. This destructed all my plans. I have an interview to attend which is very important. I gave a call to the customer service and they really did not gave me any options. After couple of hours over the call, I am very frustrated and they gave an option to fly from MSY to DFW and London and Hyd and the layover is very short and I am very tense as I don't have any options to choose. This whole journey was very irritating and the customer service is really bad. ",negative,negative,negative,anger,negative,0.125,0.861,0.014,-0.9498,-0.064269972,0.5382920110192838,0.00065757,0.000382306,0.0001858,0.9974722266197205,0.001158385,0.000143649
