text_raw,real_y,vader_pred,tb_pred,tr_pred,tr_top_emotion
"The customer service of British Airways is really bad. You can't reach any call centre agent even after waiting for 30 mins. Now, I really appreciate Emirates and Turkish Airlines after facing BA's low quality customer service. Not only the customer service but the food they offer during a long haul (LDN-JNB) is really low quality. Other airline operators which are working with Do&Co for flight catering are way better than BA. I guess BA has selected the lowest budget option from Do&Co. Overall my rating is 2/5 for BA - you can feel how stingy BA is when you fly with them. Note: Respect to their cabin crew",,negative,positive,negative,anger
"I am happy to say that this flight was quite good. Except for the second rate Euro business seating, everything was very well done. A friendly, informative cabin crew served a good hot breakfast while being very communicative to folks nervous about Heathrow transit. Well done. Unfortunately, a bus gate was used upon arrival.",,positive,positive,positive,joy
"San Diego to Hannover via London. I booked on ba.com, the longer flights both ways in premium economy.  On the return I was informed at San Diego that the American Airlines flight into DFW was severely delayed and I would miss my flight into London. American Airlines could book me on a later flight the same day, but had only  coach available. If I insisted on premier economy I could fly in 3 days. I took the coach and American assured my that BA would refund the fare difference for this downgrade. After arrival at home I contacted BA on their website to refund the fare difference. A bizarre exchange followed. First they said you did not buy any upgraded seat. I told them to look at the ticket. You can't get a refund because the economy class seat was much more expensive that the booked premium economy seat. I contacted BA Germany who said you get a refund, but you booked this with a travel agent, so we are not in charge.  I booked with BA on their website. They saidthey would send this to London so they can compute the refund, but then you can't get a refund because your seat was much more expensive than the premium seat you booked months in advance. The change in booking was the sole fault of the delayed American Airlines flight. This is miserable customer service.",,negative,neutral,negative,sadness
"Check-in very slow. No app check-in and could not check my vaccine QR code online. Check in staff friendly but too few of them. BA Silver card holder and no Stockholm lounge  to use. Boarding fine, but plane was worn out. Seats close together and row 30 even worse.  Crew really professional and happy it seemed. Arrival at Heathrow a total shambles. BA777 landed at 12.50, no gate so waited and waited for 25 minutes. Then BA jetty didn’t work. Then BA had no steps. Very slow to leave plane as only moderately mobile wheelchair passengers struggle down the steps. Everyone was very patient and supportive but it was terrible to watch. So BA skimping on lounge, plane condition and gate. Crew good, seats very uncomfortable.",,negative,neutral,positive,joy
BA2204/5 LGW-PUJ-LGW B777-200ER. Both flights excellent comfortable seats tasty meals both ways and friendly cabin crew. Lucky to get upgrade to WTP on return flight very nice BA at its best.,,positive,positive,positive,joy
"Copenhagen to Amsterdam via London Heathrow with British Airways. There was problems at check in and a lot of people had to run to make the flight. But the attitude and welcoming hospitality of the crew made me forget that and I enjoyed the flight. The seats were nice and comfortable and the aircraft fresh. During the second flight from LHR to AMS, the expectations from the first flight were fulfilled and we had a captain that knew most of the passengers were frequent fliers and made jokes only frequent fliers would understand. Like how the taxi from Polderban is almost as long as the flight itself.",,positive,positive,positive,joy
"Club class on British Airways between Cape Town and London. Boeing 747-400 has the flat bed and while the quality of the cabin was inferior to the A380 between London and Johannesburg, it remains one of the better business class product. Check in at the BA counters in Cape Town would have been a breeze, was it not for the unexpected six hour delay in the departure of the flight. The upgrade from Premium to Club class made this inconvenience almost bearable. However,  Cape Town airport becomes like a ghost town when all flights but yours have departed. BA's Executive lounge in Cape Town is spacious and serves good food and Cape wines. There are free internet and computers and a friendly service, even at midnight. While comfortable, BA's Club seats on the 747 can do with an upgrade. They are configured in a 2-4-2 layout, with one passenger facing forward and the one adjacent facing backward, at the side row - the middle row has two forward and two backward facing. This is something I never understood - why facing backward because it just makes no sense. The seats are separated by a hard plastic cseparator that moves up and down with the push of a button. Theoretically, the air hostess should walk behind the front-facing seat to serve the backward-facing passenger at the window - however, on my flight the air hostess insisted on leaning over me, pushing the button to lower the separator and serving the accross my seat - after about three times this really got annoying. The problem is that if you don't raise the separator, you and your fellow passengers stare straight at each other from a distance of less than one meter. Food was satisfactory, rather than outstanding. . The starter choices were poached Norwegian Salmon with marinated prawns or an oyster mushroom salad. Main courses included Ballotine of chicken with Port, Drakensberg trout, pasta or a cold main course salad of za'atar beef medallion. I chose the chicken and it was OK, but inferior to my mother's Sunday roast chicken. There was a selection of South African Chardonnay, Sauvignon Blanc and some good reds. Breakfast was a choice of a cheese omelette, continental or a traditional English breakfast with bacon, sausages, mushrooms and potatoes. Arriving in London, I took the supposedly fast track option - a big mistake. In theory this is supposed to expedite your progress through customs as a Club passenger, but in practice it was a disaster - there were only two or three border agents present at any time and it took 45 to 60 minutes to get through the fast track immigration - I could see group after group of fellow BA passengers clearing the slow lane long before I took the next few steps forward. BA arrivals lounge was a welcome relief from the hustle and bustle of Heathrow Terminal 5. All in all, not a bad experience, but having flown on these seats quite a few times over the past 15 or more years, I really think it is time to either upgrade the Club cabin on the 747's.",,positive,neutral,positive,joy
Covid form is broken - Called customer service twice on different times and they hung up due to being too busy to pick up the phone. 1 hour flight delay - was first in the queue and had to hand in my hand luggage due to there being not enough room which was untrue as most storage compartments where empty when I entered the plane. I explained that I really cannot afford to wait on my luggage as I have 3 hours drive left after I arrive at the airport. In short: totally not customer friendly. Will try to avoid flying next time with BA.,,negative,neutral,negative,sadness
"Flying in Club Europe from London City to Berlin Tegel, returning in economy with British Airways. The outbound flight was delayed for nearly 1 hour. However, the journey itself was very smooth and enjoyable. The food offered in the CE cabin was delicious. Flying back in economy was an absolute nightmare. Everything went wrong from checking in, lounge access, baggage claim and extremely poor service relating to my missing luggage. I had done my online check in on my return flight. Just went to the check in counter to drop off my luggage. The check in agent offered me a paper boarding pass which later I discovered had been incorrectly issued to me. She checked me in under someone else who happens to have the same last name as mine. After I dropped off my luggage, I went to the business lounge as I am a silver member. I provided the recepitionist my paper boarding pass and entrance was declined. Not surprising given the fact that they gave me the wrong boarding pass. However, I showed the receptionist my silver status on my mobile app. She didn't even look at it and told me my membership had been downgraded on her system. she didn't investigate anything and asked me to call up BA which I didn't bother. When I was queuing up at the passport control, I noticed the destination shown on my boarding pass was incorrect. I approached the BA staff at the gate immediately after I had cleared through security. BA staff were shocked that I was checked in under someone else's name. Wrong name, Wrong flight etc. They asked me to go to the correct gate immediately, but then they also told me my checked luggage was on the wrong flight and I might not have it back upon arrival at LCY. They gave me a new luggage tag. After arriving at LCY, waited for 20mins, bag didn't show up. I approached the baggage claim agent who was on her phone. I explained the situation which she didn't really pay attention and asked me to stand next to the conveyor belt, insisting my luggage would arrive. Again, no investigation, rushed service and a bit rude. 3 days later - no luggage still despite the fact that they have located my luggage. ",,negative,negative,negative,sadness
"Gatwick to Amsterdam in Business class was truly the most uncomfortable flight of my life. I thought that with British Airways I might expect something a little better - what a stupid mistake. The Business class seats are standard economy class, with middle seat empty. Food for breakfast was okay although not enough if you were hungry. But luckily they provide champagne during the flight.",,positive,neutral,negative,fear
"Athens to London with British Airways. To call this business class is some sort of mean spirited joke. To start with British Airways lounge is provided by Skyways which as jammed with both people and a bad assortment of food. The actual seat (3D) had no power plugs and no TV at the front of the seat, what you find in economy in Canada. The seat width was narrow and the pitch was pathetic. Flying premium economy on Cathay Pacific is dramatically superior. The flight from Heathrow to Athens was on a very beat up B767 on Aug 4/ 2017. The food on this flight was both minuscule and horrid. It is amazing that they can attempt to call this level of service ""business"". Very disappointing.",,negative,negative,negative,sadness
"Leeds Bradford to Heathrow. Service is equal to Ryanair and EasyJet. I've been flying with BA regularly for last 4 years and I can't get my head around what is going on. Complimentary drinks replaced with a Buy on Board menu and the flight is so short not all passengers even get served now!  Really just appalling. There is no competition on the LBA route, but I certainly won't pay anything extra to travel with BA from now on if there are alternatives available - Ryanair it is at around a fifth of the price usually!",,positive,neutral,positive,joy
"Just arrived back in UK on British Airways after a stay in Las Vegas. On outbound flight, the chicken dinner ran out at the next row to me, alternative was Spinach pasta! I declined. On return journey earlier today, the breakfast consisting of bacon and  sausage ran out one row from us! Had to endure veggie option of hash brown, tomato, mushrooms. For some reason they serve from front and rear, and by the time they meet around the low 40 rows, you don`t get a choice! Surely in the days of computers checking everything, they would know the ratio of meals that passengers are choosing. TV screens did not work for entire flight, steward even advised London were re-setting it remotely from ground!",,positive,neutral,negative,anger
"The best thing about this flight from London Heathrow to Miami was it’s punctuality. However having got up at 5am for the flight time at 10.45, if we hadn’t eaten breakfast in the airport we would have been starving by the lunch service, which was served what seemed like a long time after take off. 6 hours after the mediocre lunch were were served an even more mediocre sandwich. Only one cabin staff for premium economy service meant drinks and meals were served very slowly by the hard worked lady. Aircraft an elderly 747 and showing its age. Screen tiny, scratched and hardly worth looking at. We have flown similar routes on Thomas Cook and TUI planes and the service and comfort of their new aircraft was miles ahead of this BA flight, which I think is shameful for the national carrier.",,positive,neutral,negative,sadness
"Bengaluru to Heathrow. My first long haul flight with British Airways and I am not at all impressed. The service levels were disgusting. No ear plugs, No eye shades even after requests.  Drink service only a showpiece. Asked for a Virgin Mary and was give iced tomato juice with lemon. When asked for other ingredients like Worcestershire sauce, tabasco, Salt and Pepper, I was told that this was the airline recipe. My request for some salt and pepper to spice my drink was refused saying that `we do not stock them in Economy'. When I requested for a talk with the Head of Staff on the aircraft, he was sorry and said the airline was trying to cut corners and the crew pleas were falling on deaf years.  Only vegetarian dinner option provided since they had apparently run out. No menus etc. IFE selection with dated screens and headsets.  Was a Low cost carrier experience that takes a passenger from Point A to Point B without any feel good moments.",,negative,neutral,positive,joy
"Heathrow to Bilbao. Boarding of the flight at Heathrow was very good , the flight was on time and the plane was clean. Frequent flyers boarded first and the rest soon followed. From then on the service was very similar to a Easy Jet or Eurowings flight. The 3 crew member's in economy passed through the cabin selling M&S sandwiches , snacks and coffee. The flight out of Bilbao was delayed by a late incoming aircraft, information on the delay was a little slow in coming from the gate agent. However the crew were very efficient loading the flight when it finally landed. The flight crew also managed to shave 15 minutes off the flight time too. However the service onboard is similar to Eurowings. Both flights were safe and competent. But the actual flight experience was lacking and in future I will consider Easyjet or similar as they offer the same level of service for less money.",,positive,positive,positive,joy
"BA362 6th June 2015. If this were the first flight I had taken with British Airways I would not be impressed. At check in there is a lack of professionalism. The customer does not come first even at the First Class check in. Staff interrupt each other and discuss their own business in priority to completing the check in. The flight was in fact delayed by an hour despite the information such as was provided given as ""ten minutes"". The aircraft appeared dated and not especially clean with crumbs on the seat and grease marks on the windows. The inflight shopping was made difficult as there were no inflight duty free magazines available in Club Class. Inflight entertainment system did not work. Whilst the food was good it had to be changed as the first offering was cold. Inflight crew were pleasant and efficient. Upon arrival the baggage reclaim took no account of priority passengers.",,negative,positive,neutral,surprise
Hong Kong to London. Great airline indeed! Staff were friendly and helpful! The aircraft was very clean. The crews are diverse. Will definitely fly again.,,positive,positive,positive,joy
"I have used Ryanair for European destinations and have always been very happy, but while searching I found Iberia/British Airways offering return to Barcelona for £75 including 23kg of baggage. The aircraft was an A319, I am 6'3"" so seat was bit cramped, but no more than other budget carriers, aircraft was spotless, crew very attentive. There was complimentary food and drink. Outward flight on time, inward flight was delayed by about one hour by problems earlier at Gatwick. I will certainly use again but other budget airlines better wake up!",,positive,positive,positive,joy
"We have had some torrid experiences with BA - which we have not been shy to report. So when we flew yesterday with them from Heathrow to Austin and had a great flight in every way, it felt right to feedback on that. The staff in the upstairs business class cabin were, frankly, wonderful. Cheerful, efficient and calm. What more could you ask? The food was pretty nice and the champagne lovely. The beds were very comfortable and sleeping was easy. I literally cannot think of any real negatives. The luggage lockers were quite small but then it’s an older model of the plane so that probably explains it. If only BA could deliver this kind of experience on every occasion, they would once again be the “world’s favourite airline’. Sadly, the current CEO doesn’t seem able to inspire and motivate his staff to be consistently delightful. Perhaps once he moves on we can expect something better. Although the flight was a bit delayed on departure it arrives bang on time. As we entered the (literally empty) immigration area, we were met by the most charming customs officer you can imagine, who ended up giving us tourist tips and ideas for bars! Surreal, as anyone who regularly travels to the States, will testify! It felt as if we were living in the Truman Show at one point but in the nicest possible way. Get yourselves down to good ole Austin now that BA fly there direct. Fantastic.",,positive,positive,positive,joy
"Munich to London-Heathrow with British Airways. While British Airways is more or less in the same price range as Lufthansa, no complimentary food or drinks were served. Crew was friendly. The departure was from Terminal 1 in Munich, which is by far not as nice as the newer terminal 2. And arrival at Terminal 5 in Heathrow which is not as nice/easy as the new Star alliance Queens Terminal 2. No WiFi, personal device entertainment or onboard monitors on my flight. Seat reservation too expensive in my eyes. British airways has one big advantage though: the generous hand luggage rules.",,positive,positive,positive,joy
"I was traveling with my wife in business class from Seattle to Bangalore via connecting flight in London and we reserved our seats together while booking the tickets. But mysteriously they changed it later and when we got our boarding pass, they assigned 11h and 5d. Called several times but they couldn't do anything and gave us explanations like may be some one else needed those seats and there are no other seats together available. When we boarded, the whole plane was empty and still they didn't allow us to seat together. ",,negative,positive,negative,fear
"Straightforward and friendly baggage drop. On to South Lounge, no polite conversation on have you used our lounge before, no indication that it was so busy there was nowhere to sit at all considering even the 1.5m distancing. Had to roam the entire lounge, lugging our bags on the carpeted floor, with no success at all. Gave up after 20 minutes and decided to try another lounge. Arrived and everything was actually right in front of us and actually found somewhere to sit after 5 minutes of looking around. Menu was basic with no eggs, hash browns or any breakfast cakes or muffins. Ordered a frittata as was so hungry. Made my way to the self-serve coffee counter which had basic coffee and was straight away put off by flies hovering over the croissants and fruit. Flight was departing from a gate where you had to take a train to and as if to rub salt in the wound were then told that DXB flight usually leaves from there and should’ve gone to the lounge near there. Looking at the individual cubicles which was to be honest our top reason for choosing business class gave me heart. However, the doors cannot close till take off. I asked for the artisan crisps or biscuits on the Menu and it took them over an hour. Lunch came in another almost hour. Asked if could swap puddings as am not a crumble person, said will surely try but clearly didn’t, with no apologies or even trying. Portions were small, plus saw quite a few fellow passengers sleeping through lunch so asked if could have more but all was finished. Chocolates are Lindor. Nothing special about the other amenities, toilets were no different to what you’d expect, amenity kit was basic, duvet seemed well used. It was not worth almost 4 times the amount of a regular ticket. Naive to trust claims of world class standards.",,positive,positive,positive,joy
"The worst airline I have ever flown with. Allocated the very back row next to the toilets and galley. No chance of getting any sleep, question asked of possible seat movement ignored and getting bumped the entire time by cabin crew walking or pushing kart up and down aisle without one apology. Would have been better sitting in the luggage compartment.",,negative,negative,negative,sadness
"Check in well organised. No lounge in Cancun. Efficient boarding process. Given water bottle before take off, no welcome drink. Now COVID rules are being relaxed this needs to change. Menu good and food acceptable. Staff were experienced and well organised and gave a very slick on board experience. Managed to sleep a few hours. For the first time my tagged luggage was off quickly. This may reflect the fact that our flight was the only one into Gatwick at that time.",,positive,positive,positive,joy
"I would never fly British Airways on London-Istanbul-London route again. Business class seat is awful, same as economy seat, no space to work or even space for your legs, no entertainment, no TV. BA thinks they can get away with making so much profit and ripping you off. Definitely going for Turkish Airline in the future.",,positive,negative,negative,sadness
"Flew Oslo to Philadelphia via London. Was extremely disappointed with Business Class on British Airways. The flat beds were very narrow (and I'm only 4'11"" and weigh 100 lbs.) and therefore not very comfortable. The lunch served (beef entree) was inedible except for the tomato/mozzerella starter, the cheese and the dessert. (I had wanted shrimp salad but was told it was unavailable). Afternoon tea was better but certainly not stellar. The so-called warm scone was stone cold and the sandwiches were still very cold from being refrigerated. I had asked for both a diet Coke and an apple and the steward forgot both requests.",,positive,negative,negative,anger
"New Orleans to Hyderabad via London. I booked my flight ticket couple of moths before my travel and I received an email on the day I'm going to travel saying that my flight was cancelled and they asked me to book my ticket for the next day. This destructed all my plans. I have an interview to attend which is very important. I gave a call to the customer service and they really did not gave me any options. After couple of hours over the call, I am very frustrated and they gave an option to fly from MSY to DFW and London and Hyd and the layover is very short and I am very tense as I don't have any options to choose. This whole journey was very irritating and the customer service is really bad. ",,negative,negative,negative,anger
"My husband and I flew on British Airways flight BA-228 from Baltimore to London Heathrow leaving on the 12th February 2019. Every aspect of the flight was poorer than what budget airlines have to offer. The plane was shabby and dated. The seat reclining facility did not operate properly, was not that comfortable, and we had less legroom than the equivalent with budget airlines. The touch screen TV monitor was not working properly. One ear bud on the headphones did not work. The audio socket was too loose for the headphones so the plug kept falling out making it difficult to enjoy the in-flight entertainment (which in itself had a dated choice). The pillow was disgusting and kept falling out of the flimsy cover. The air conditioning lacked consistency alternating between very hot and very cold air. The restroom occupied sign always lit up as vacant even if it was occupied. However what made the flight very unpleasant was the bad attitude of the cabin crew. They were abrupt, unfriendly and quite clearly did not want to be there. There was one exception, an extremely pleasant older crew member who greeted us on and off the flight. There did not appear to be any organisation or smooth co-ordination when distributing the meals. Our two trays of food where placed on top of each other and practically thrown at us by a sour faced crew member. This flight was one hour late making us nervous about catching our connecting flight. There was no information or instructions given to us about connecting flight gate numbers before we landed. Unlike all the other airlines that I have travelled with there were no staff member greeting the connecting customers to point them in the right direction or re-assure them. British Airways would be my last choice of an airline to travel with and I would only fly with them again if there was no other option.",,negative,neutral,negative,anger
"I booked Premium Economy from INV to LAX (via LHR). They notified me of a cancelled flight on my return journey and rebooked me on a flight that my connecting flight arrived too late for! Then they cancelled a flight on my journey to LAX! They then cancelled the rebooked flight on the return journey and rebooking me back on the first flight that they had rebooked me on - the flight that I have no chance of making as my return flight arrives too late into LHR. They re-routed me from LAX to JFK to LHR - which I would have accepted - but they booked the journey in Economy (LAX to JFK) which my husband (6'4"" with a knee injury) - cannot do and now they won't change it - even though they have a direct flight from LAX to LHR with Premium Economy and unacceptable flight allows us 54 mins to transfer flights at JFK - and my husband won't be able to walk slowly, let alone quickly, after enduring the 6-hour flight from LAX to LHR. I have chatted only to have my calls disconnected and I also have online chat which proves I did not accept this re-routed flight to JFK but they won't budge.",,negative,neutral,negative,anger
"First leg CAI-LHR was on time, flight crew was pleasant, but the seating was very cramped and legroom almost non-existent. The second leg LHR-JFK wasn't much different with helpful crew but horrible seating space. My knees were pressed against the seat in front of me constantly and had to relieve them one at a time. It used to be a flagship carrier but now it's not much better than a budget airline. Will do my best to avoid.",,positive,positive,positive,joy
"BA continue to charge a premium for the most disgusting service, provided by people who shouldn't be in customer service, on tired, dirty and cramped aircraft. Out of 11 flights this year, not one has managed to depart or arrive at their destinations on-time. Including having 3 business class tickets cancelled and an alternative in economy being offered, still no refunds 3 months on and had a flight late and missed connection, so BA cancelled the rest of my ticket, leaving me stranded in the US. ",,negative,negative,negative,anger
Flew British Airways from London Heathrow to Johannesburg. We enjoyed the flight very much on the A380. We chose two seats together and it was comfortable. The inflight entertainment was good and had a fair choice. The food was ok and there were plenty of drinks to go round. Staff were professional and helpful.,,positive,positive,positive,joy
"I flew London to Cairo and return in October 2023. It was basically a perfectly good pair of flights in Economy, with pleasant and professional cabin crew (especially on the return journey). Being only 1.73 m tall I have no problem with legroom in the back of the plane, the seat was OK if getting a little numbing after 5 hours, and the return of a rather good included snack box and drinks was welcome. However, it must be said that the value for money was poor: with a checked bag on the return leg only, this was a nearly £700 ticket. And although I am content to pass the time by reading or sleeping, it was surprising to find no in-flight entertainment on 5-hour flights. However, overall I would still recommend BA and would do so even more enthusiastically if it was more sensibly priced.",,positive,positive,positive,joy
LHR-FRA-LHR in spotlessly clean airbuses both looked brand new (although they weren't). Crews were immensely friendly and helpful with a smile for everybody. Slight delay on the return leg but kept well informed. Only minus point is the remote stands at FRA that slow boarding and disembarkation to a snails pace.,,positive,positive,positive,joy
"The flight was delayed over 6 hours and this of course caused us to missed our connection flight and change to a different route, finally I lost my luggage and no one has any information. I will never again travel with British Airways.",,negative,neutral,negative,sadness
"You can buy sandwiches and crisps but don't expect a hot meal. Because the plane is a narrow body , there are no screens. Not helping matters is the fact that the BA prebooking shop for food didn't recognise the flight number, and the onboard  WiFi didn't work. ",,negative,neutral,positive,joy
"London Heathrow - Vancouver - London Heathrow. First impressions could have been better as this flight departs from Terminal 3, rather than terminal 5 at Heathrow. The departure lounge was being used by multiple longhaul flights on large aircraft meaning that the area as crammed full with most passengers having to stand and making it difficult to access the departure gates. However the ground staff did their best to manage the situation and were clearly used to having to manage it. Once on board I found the cabin to be very clean. Unlike many airlines, BA offers economy seating upstairs on the A380 where the ride is noticably smoother and quieter than on most other aircraft. However the profile of the cabin means that the overhead lockers are smaller than usual, which could be an issue for those with roller cases. The IFE system provided is excellent. I also ordered one of BA's new gourmet meal offerings rather than take the standard meal. This option was well worth taking up, offering an improved choice and quality. The service provided by the flight attendants was friendly and professional and this is one area where British Airways seems to do consistently well. If I have a criticism it is that the 31 inch seat pitch seems miserly for a 9-10 hour flight. Arrival at Vancouver was on time and I was through immigration and landside in about 20 minutes. Processing through security for departure from YVR was equally efficient. The return flight offered a similar experience to the outward one, although arrival in London was an hour late. However the relatively quiet cabin on the A380 meant that I was able to get some sleep. Unfortunately the arrival experience at LHR terminal 3 was no better than the departure one. A lengthy walk to arrivals concluded with having to join a slow-moving, snaking line to clear immigration. A marked contrast to the experience at YVR.",,positive,positive,positive,joy
A short haul from Gatwick to Rome and I had no expectations. Check in was quick and we were on a vintage Boeing 737. All in all very happy. They supplied a decent enough snack. Drinks service was efficient. There was no in- flight entertainment available but we should all be able to cope for 2 hours without surely? Comfortable enough friendly service got there on time and good price. All adds up to a happy traveller.,,positive,positive,positive,joy
"Our first time flying to Dominican Republic and found the best deal with British Airways and the benefit was it is a direct flight from Gatwick to Punta Cana. On the outbound flight, the plane was half empty, so it was nice and spacious. The BA Boeing 777 is an outdated plane which has been used in their fleet for many years and has not had a refurb I would say in about 10+ years - I suppose this is why the flight was so cheap. The staff on board were friendly and efficient. The seat pitch is large so I could sit for 9+ hours comfortably, the seats despite the plane being old, were comfortable and not showing signs of wear. The entertainment system is what shows the age of the plane, one of the smallest screens in the industry. They are very small, and the anti-glare screen is hard to see from you need to keep adjusting the brightness of the screen throughout the movie. The range of movies was good. Food was ok nothing special and not really a choice.",,positive,positive,positive,joy
